stt,unnamed_1,so_bien_nhan,ngay_tiep_nhan,ngay_cap_gcn_attp,ten_co_so,dia_chi,phuong_xa,quan_huyen,ten_san_pham,tên_cơ_sở_sx,địa_chỉ_sx,phường_sx,quận_huyện_sx,so_ban_cong_bo,ngay_hoan_thanh,ket_qua,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
11,,,,2023-03-09 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong cong thuc nolan kids gain cho tre tu 1 tuoi tro len,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,11,2023-03-03,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
12,,,,2023-03-09 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong cong thuc nolan kids pedia cho tre tu 1 - 10 tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,12,2023-03-03,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
13,,,2023-03-03,2023-03-14 00:00:00,cong ty co phan san xuat thuc pham anh kim,"lo iii - 1b, đuong so 1, nhom cn iii, kcn tan binh",tay thanh,tan phu,thuc pham dinh duong chao tuoi bo cau đau lang chum ngay,CÔNG TY CỔ PHẦN SẢN XUẤT THỰC PHẨM ANH KIM,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,13,2023-03-07,,cong ty co phan san xuat thuc pham anh kim,"lo iii - 1b, đuong so 1, nhom cn iii, kcn tan binh",tan phu,tay thanh
14,,,2023-03-03,2023-03-14 00:00:00,cong ty co phan san xuat thuc pham anh kim,"lo iii - 1b, đuong so 1, nhom cn iii, kcn tan binh",tay thanh,tan phu,thuc pham dinh duong chao tuoi ca ngu đai duong,CÔNG TY CỔ PHẦN SẢN XUẤT THỰC PHẨM ANH KIM,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,14,2023-03-07,,cong ty co phan san xuat thuc pham anh kim,"lo iii - 1b, đuong so 1, nhom cn iii, kcn tan binh",tan phu,tay thanh
15,,,2023-03-03,2023-03-14 00:00:00,cong ty co phan san xuat thuc pham anh kim,"lo iii - 1b, đuong so 1, nhom cn iii, kcn tan binh",tay thanh,tan phu,thuc pham dinh duong chao tuoi hau cai bo xoi,CÔNG TY CỔ PHẦN SẢN XUẤT THỰC PHẨM ANH KIM,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,15,2023-03-07,,cong ty co phan san xuat thuc pham anh kim,"lo iii - 1b, đuong so 1, nhom cn iii, kcn tan binh",tan phu,tay thanh
16,,,2023-03-03,2023-03-14 00:00:00,cong ty co phan san xuat thuc pham anh kim,"lo iii - 1b, đuong so 1, nhom cn iii, kcn tan binh",tay thanh,tan phu,thuc pham dinh duong chao tuoi tim heo hat sen,CÔNG TY CỔ PHẦN SẢN XUẤT THỰC PHẨM ANH KIM,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,16,2023-03-07,,cong ty co phan san xuat thuc pham anh kim,"lo iii - 1b, đuong so 1, nhom cn iii, kcn tan binh",tan phu,tay thanh
17,,,2023-09-03,2023-03-20 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong cong thuc nolan kids grow iq cho tre tu 1-12 tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,17,2023-03-14,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
18,,,,2023-03-24 00:00:00,cong ty tnhh san xuat thuong mai thuc pham dinh duong nutrilac,"472/2 đuong nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong cong thuc danh cho tre tu 1 - 10 tuoi foodpro 100 colostrum pedia,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,18,2023-03-21,,cong ty tnhh san xuat thuong mai thuc pham dinh duong nutrilac,"472/2 đuong nguyen van kha, ap phu hiep",cu chi,phu hoa đong
19,,4042226879.0,,2023-03-27 00:00:00,cong ty co phan san xuat - xuat nhap khau thuc pham sai gon,37/9b đuong quang trung,10,go vap,san pham dinh duong cong thuc danh cho tre tu 1 - 12 tuoi: ellac grow 1+,CÔNG TY CỔ PHẦN SẢN XUẤT - XUẤT NHẬP KHẨU THỰC PHẨM SÀI GÒN - XƯỞNG SẢN XUẤT,"Tổ 7, Ấp Bến Đò 2",Tân Phú Trung,Củ Chi,19,2023-03-21,,cong ty co phan san xuat - xuat nhap khau thuc pham sai gon,37/9b đuong quang trung,go vap,10
20,,,,2023-03-31 00:00:00,cong ty co phan sai gon milk,52d tran thu đo,phu thanh,tan phu,san pham dinh duong cong thuc danh cho tre tu 0-12 thang tuoi opti kids medisure,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN SÀI GÒN MILK,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,20,2023-03-28,,cong ty co phan sai gon milk,52d tran thu đo,tan phu,phu thanh
21,,,,2023-03-31 00:00:00,cong ty co phan sai gon milk,52d tran thu đo,phu thanh,tan phu,san pham dinh duong cong thuc voi muc đich an bo sung danh cho tre tu 01-17 tuoi grow medisure,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN SÀI GÒN MILK,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,21,2023-03-28,,cong ty co phan sai gon milk,52d tran thu đo,tan phu,phu thanh
22,,,,2023-03-31 00:00:00,cong ty co phan sai gon milk,52d tran thu đo,phu thanh,tan phu,san pham dinh duong cong thuc voi muc đich an bo sung danh cho tre tu 01-15 tuoi opti kids 3 medisure,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN SÀI GÒN MILK,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,22,2023-03-28,,cong ty co phan sai gon milk,52d tran thu đo,tan phu,phu thanh
23,,,,2023-03-31 00:00:00,cong ty co phan sai gon milk,52d tran thu đo,phu thanh,tan phu,san pham dinh duong cong thuc voi muc đich an bo sung danh cho tre tu 06-36 tuoi opti kids 2 medisure,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN SÀI GÒN MILK,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,23,2023-03-28,,cong ty co phan sai gon milk,52d tran thu đo,tan phu,phu thanh
24,,,2023-04-04,2023-04-13 00:00:00,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,thoi an,12,san pham dinh duong cong thuc olivia baby,CHI NHÁNH CÔNG TY TNHH V H CT,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,24,2023-04-07,,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,12,thoi an
25,,,2023-04-04,2023-04-13 00:00:00,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,thoi an,12,san pham dinh duong cong thuc olivia pedia,CHI NHÁNH CÔNG TY TNHH V H CT,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,25,2023-04-07,,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,12,thoi an
26,,,2023-04-04,2023-04-13 00:00:00,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,thoi an,12,san pham dinh duong cong thuc olivia kao iq,CHI NHÁNH CÔNG TY TNHH V H CT,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,26,2023-04-07,,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,12,thoi an
27,,,2023-04-04,2023-04-13 00:00:00,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,thoi an,12,san pham dinh duong cong thuc adelac baby gold,CHI NHÁNH CÔNG TY TNHH V H CT,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,27,2023-04-07,,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,12,thoi an
28,,,2023-04-04,2023-04-13 00:00:00,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,thoi an,12,san pham dinh duong cong thuc adelac pedia+,CHI NHÁNH CÔNG TY TNHH V H CT,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,28,2023-04-07,,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,12,thoi an
29,,,2023-04-04,2023-04-13 00:00:00,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,thoi an,12,san pham dinh duong cong thuc adelac kao iq,CHI NHÁNH CÔNG TY TNHH V H CT,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,29,2023-04-07,,cong ty tnhh thuong mai dich vu wincare food,1366/9/3 quoc lo 1a,12,thoi an
30,,,2023-05-04,2023-04-17 00:00:00,cong ty tnhh san xuat thuong mai dich vu le may,"10 đuong 23, khu pho 2",an khanh,thu đuc,san pham mi baby somen 5 vi ngu coc - baby somen 5 mixed grain,"HAKUBAKU CO., TLD NANCO FACTORY",920 Higashinango,Minami-Alps City,"Yamanashi, Nhật Bản",30,2023-04-07,,cong ty tnhh san xuat thuong mai dich vu le may,"10 đuong 23, khu pho 2",thu đuc,an khanh
31,,,2023-05-04,2023-04-17 00:00:00,cong ty tnhh san xuat thuong mai dich vu le may,"10 đuong 23, khu pho 2",an khanh,thu đuc,san pham mi baby somen vi khoai lang - baby somen sweet potato,"HAKUBAKU CO., TLD NANCO FACTORY",920 Higashinango,Minami-Alps City,"Yamanashi, Nhật Bản",31,2023-04-07,,cong ty tnhh san xuat thuong mai dich vu le may,"10 đuong 23, khu pho 2",thu đuc,an khanh
32,,,,2023-05-11 00:00:00,cong ty tnhh san xuat thuong mai dich vu le may,"10 đuong 23, khu pho 2",an khanh,thu đuc,san pham mi baby somen 5 vi rau cu - baby somen 5 mixed vegetables,"HAKUBAKU CO., TLD NANCO FACTORY",920 Higashinango,Minami-Alps City,"Yamanashi, Nhật Bản",32,2023-04-28,,cong ty tnhh san xuat thuong mai dich vu le may,"10 đuong 23, khu pho 2",thu đuc,an khanh
33,,,,2023-05-08 00:00:00,cong ty co phan sai gon milk,52d tran thu đo,phu thanh,tan phu,san pham dinh duong cong thuc voi muc đich an bo sung danh cho tre tren 1 tuoi us colos gold kids opti,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN SÀI GÒN MILK,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,33,2023-04-28,,cong ty co phan sai gon milk,52d tran thu đo,tan phu,phu thanh
34,,,,2023-05-08 00:00:00,cong ty co phan sai gon milk,52d tran thu đo,phu thanh,tan phu,san pham dinh duong cong thuc voi muc đich an bo sung danh cho tre tu 01 - 10 tuoi colostrum pedia gain,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN SÀI GÒN MILK,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,34,2023-04-28,,cong ty co phan sai gon milk,52d tran thu đo,tan phu,phu thanh
35,,,,2023-05-08 00:00:00,cong ty co phan sai gon milk,52d tran thu đo,phu thanh,tan phu,san pham dinh duong cong thuc voi muc đich an bo sung danh cho tre tren 1 tuoi colostrum opti,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN SÀI GÒN MILK,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,35,2023-04-28,,cong ty co phan sai gon milk,52d tran thu đo,tan phu,phu thanh
36,,,,2023-06-02 00:00:00,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",tan tao,binh tan,san pham dinh duong cong thuc arti gain opti premium danh cho tre tren 2-10 tuoi,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,36,2023-05-29,,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",binh tan,tan tao
37,,,,2023-06-02 00:00:00,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",tan tao,binh tan,san pham dinh duong cong thuc arti gain opti premium danh cho tre tu 1-2 tuoi,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,37,2023-05-29,,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",binh tan,tan tao
38,,,2023-12-06,2023-06-21 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,bot an dam humababy vi gao thom,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,38,2023-06-15,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
39,,,2023-12-06,2023-06-21 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,"san pham bot an dam humababy vi bap, gao, yen mach",CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,39,2023-06-15,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
40,,,2023-11-06,2023-06-23 00:00:00,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",tan tao,binh tan,san pham dinh duong cong thuc arti gain opti premium danh cho tre tu 0-1 tuoi,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,40,2023-06-19,,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",binh tan,tan tao
41,,,,2023-06-27 00:00:00,cong ty tnhh dinh duong thuc pham nano right,26 đuong s3,tay thanh,tan phu,san pham dinh duong cong thuc cho tre tu 0 - 12 thang tuoi baby,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI MI NA,"48/15 đường 369, Tổ 5, Bàu Tre a",Tân An Hội,Củ Chi,41,2023-06-21,,cong ty tnhh dinh duong thuc pham nano right,26 đuong s3,tan phu,tay thanh
42,,,,2023-06-27 00:00:00,cong ty tnhh dinh duong thuc pham nano right,26 đuong s3,tay thanh,tan phu,san pham dinh duong cong thuc cho tre tu 6 - 36 thang tuoi kids sure,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI MI NA,"48/15 đường 369, Tổ 5, Bàu Tre a",Tân An Hội,Củ Chi,42,2023-06-21,,cong ty tnhh dinh duong thuc pham nano right,26 đuong s3,tan phu,tay thanh
43,,,,2023-06-27 00:00:00,cong ty tnhh dinh duong thuc pham nano right,26 đuong s3,tay thanh,tan phu,san pham dinh duong cong thuc cho tre tu 1 - 15 tuoi grow iq,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI MI NA,"48/15 đường 369, Tổ 5, Bàu Tre a",Tân An Hội,Củ Chi,43,2023-06-21,,cong ty tnhh dinh duong thuc pham nano right,26 đuong s3,tan phu,tay thanh
44,,,,2023-06-27 00:00:00,cong ty tnhh duoc nutriplus,114/20 đuong so 18,binh hung hoa,binh tan,san pham dinh duong cong thuc cho tre tu 1 tuoi tro len staplus iq pedia,CHI NHÁNH CÔNG TY TNHH SUNBABY - XƯỞNG SẢN XUẤT,"Thửa 1117 và 1121, Tờ bản đồ 21, Ấp Rừng Sến",Mỹ Hạnh Bắc,Đức Hòa - Long An,44,2023-06-21,,cong ty tnhh duoc nutriplus,114/20 đuong so 18,binh tan,binh hung hoa
45,,,,2023-06-27 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong cong thuc dhagold pedia cho tre tu 1 - 10 tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,45,2023-06-21,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
46,,,,2023-06-27 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong cong thuc dhagold grow plus cho tre tu 1 - 12 tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,46,2023-06-21,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
47,,,,2023-06-27 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong cong thuc dhagold grow gain cho tre tu 1tro len,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,47,2023-06-21,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
48,,,,2023-06-29 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,"bot an dam humababy vi bi đo, oc cho",CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,48,2023-06-23,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
49,,,,2023-06-29 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,"bot an dam humababy vi oc cho, ca rot",CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,49,2023-06-23,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
50,TT,,,2023-07-06 00:00:00,cong ty tnhh thuong mai va dich vu fd,"10/14/30 đuong so 7, khu pho 2",tam binh,thu đuc,sua hat dinh duong danh cho tre nho 1 - 15 tuoi fd for baby nutrish grow,CÔNG TY CỔ PHẦN THỰC PHẨM NANOFOOD,Thôn Đồng Vàng,Phú Mãn,Quốc Oai - Hà Nội,50,2023-07-03,,cong ty tnhh thuong mai va dich vu fd,"10/14/30 đuong so 7, khu pho 2",thu đuc,tam binh
51,TT,,,2023-07-06 00:00:00,cong ty tnhh thuong mai va dich vu fd,"10/14/30 đuong so 7, khu pho 2",tam binh,thu đuc,san pham dinh duong danh cho tre nho 0 - 12 thang tuoi fd for baby nutrish plus,CÔNG TY CỔ PHẦN THỰC PHẨM NANOFOOD,Thôn Đồng Vàng,Phú Mãn,Quốc Oai - Hà Nội,51,2023-07-03,,cong ty tnhh thuong mai va dich vu fd,"10/14/30 đuong so 7, khu pho 2",thu đuc,tam binh
52,TT,,,24/208/2023,cong ty tnhh thuc pham dinh duong than đong viet nam,so 43 đuong 2d noi dai,an lac,binh tan,san pham dinh duong super kids pedia danh cho tre tu 1-10 tuoi,HỢP TÁC XÃ XUẤT NHẬP KHẨU QUỐC TẾ AVI ,116 ấp Hưng Hòa,Tân Khánh Trung ,"Lấp Vò, Tỉnh Đồng Tháp",52,2023-08-21,,cong ty tnhh thuc pham dinh duong than đong viet nam,so 43 đuong 2d noi dai,binh tan,an lac
53,TT,,,2023-09-11 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,bot an dam humababy tom ca rot,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,53,2023-09-06,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
54,TT,,,2023-09-11 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,bot an dam humababy thit ga rau cu,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,54,2023-09-06,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
55,TT,,,2023-09-11 00:00:00,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",phuoc vinh an,cu chi,bot an dam humababy trung bi đo - bo xoi,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,55,2023-09-06,,cong ty tnhh đong nam duoc bao long,"so 02, đuong 430, ap 1",cu chi,phuoc vinh an
