stt,unnamed_1,lĩnh_vực,so_bien_nhan,ngày_tiếp_nhận,han_tra,kêt_qua,ten_co_so,ten_chu_co_so,dia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_dau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
11,,CT,h29.24-221215-0003,2022-12-16,2023-01-30,,đia điem kinh doanh cong ty tnhh sai gon song anh - cua hang thuc pham song anh food,bach ngoc tuan,80/4 duong quang ham,5,go vap,,ban le nhom san pham theo danh muc,11,2023-01-03,,,,,,đia điem kinh doanh cong ty tnhh sai gon song anh - cua hang thuc pham song anh food,80/4 duong quang ham,go vap,5
12,,NN,h29.24-221216-0008,2022-12-20,2023-01-16,,ho kinh doanh tran van thang,,350/54/41 le đuc tho,6,go vap,41M8031437,"so che rau, cu, trai cay",12,2023-01-03,,,,,,ho kinh doanh tran van thang,350/54/41 le đuc tho,go vap,6
13,,YT,04042226818,2022-12-15,2023-01-13,,cong ty tnhh enzo & leo cuisine,nguyen thi le thu,"so 22b, đuong phung khac khoan",đa kao,1,,kinh doanh dich vu an uong,13,2023-01-03,,,,,,cong ty tnhh enzo & leo cuisine,"so 22b, đuong phung khac khoan",1,đa kao
14,,YT,04042226870,2022-12-20,2023-01-18,,đia điem kinh doanh 20 – cong ty co phan san xuat thuong mai dich vu pho hai muoi bon,thai phi đan,"gian hang #0.38 – tang tret, so 584 huynh tan phat",tan phu,7,,kinh doanh dich vu an uong,14,2023-01-03,,,,,,đia điem kinh doanh 20 – cong ty co phan san xuat thuong mai dich vu pho hai muoi bon,"gian hang #0.38 – tang tret, so 584 huynh tan phat",7,tan phu
15,,YT,04042226929,2022-12-20,2023-01-18,,đia điem kinh doanh nguyen thi thap - cong ty co phan đau tu thuong mai ttv,tran tuyet van,"vi tri 1s11-a, trung tam thuong mai go! nguyen thi thap, lo a, khu dan cu cityland, so 99, đuong nguyen thi thap",tan phu,7,,kinh doanh dich vu an uong,15,2023-01-03,,,,,,đia điem kinh doanh nguyen thi thap - cong ty co phan đau tu thuong mai ttv,"vi tri 1s11-a, trung tam thuong mai go! nguyen thi thap, lo a, khu dan cu cityland, so 99, đuong nguyen thi thap",7,tan phu
16,,YT,04042227030,2022-12-20,2023-01-18,,cong ty tnhh trang mat,ngo kim anh,"lau 2, cao oc h3 - 384 hoang dieu",6,4,,kinh doanh dich vu an uong,16,2023-01-04,,,,,,cong ty tnhh trang mat,"lau 2, cao oc h3 - 384 hoang dieu",4,6
17,,YT,04042226955,2022-12-20,2023-01-18,,đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,vo thi phi phuong,172 khanh hoi,6,4,,kinh doanh dich vu an uong,17,2023-01-04,,,,,,đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,172 khanh hoi,4,6
18,,YT,04042226887,2022-12-20,2023-01-18,,đia điem kinh doanh phuc long hcm 326 - ks - cong ty co phan phuc long heritage,pham thi thu huong,1191-1193 pham van bach,12,go vap,,kinh doanh dich vu an uong,18,2023-01-04,,,,,,đia điem kinh doanh phuc long hcm 326 - ks - cong ty co phan phuc long heritage,1191-1193 pham van bach,go vap,12
19,,YT,04042226958,2022-12-20,2023-01-18,,đia điem kinh doanh 86- cong ty tnhh guta viet nam,nguyen minh the,428 phan van tri,7,go vap,,kinh doanh dich vu an uong,19,2023-01-04,,,,,,đia điem kinh doanh 86- cong ty tnhh guta viet nam,428 phan van tri,go vap,7
20,,YT,04042226938,2022-12-19,2023-01-17,,đia điem kinh doanh so 3 - cong ty tnhh ham ruou de cua 245,nguyen thi ngan,"so 1, đuong hoa binh, khu pho 4",binh tho,thu đuc,,kinh doanh dich vu an uong,20,2023-01-04,,,,,,đia điem kinh doanh so 3 - cong ty tnhh ham ruou de cua 245,"so 1, đuong hoa binh, khu pho 4",thu đuc,binh tho
21,,YT,04042226889,2022-12-16,2023-01-16,,cong ty tnhh mama kitchen,nguyen ngoc tram,b18 bach đang 1,2,tan binh,,kinh doanh dich vu an uong,21,2023-01-04,,,,,,cong ty tnhh mama kitchen,b18 bach đang 1,tan binh,2
22,,YT,04042226965,2022-12-19,2023-01-17,,đia điem kinh doanh 65 - cong ty tnhh guta viet nam,nguyen minh the,54 ut tich,4,tan binh,,kinh doanh dich vu an uong,22,2023-01-04,,,,,,đia điem kinh doanh 65 - cong ty tnhh guta viet nam,54 ut tich,tan binh,4
23,,YT,04042226677,2022-12-16,2023-01-16,,cong ty tnhh thuong mai dich vu thuc pham trung nam,trinh kien linh,245a nguyen thi tu,binh hung hoa b,binh tan,,kinh doanh dich vu an uong,23,2023-01-04,,,,,,cong ty tnhh thuong mai dich vu thuc pham trung nam,245a nguyen thi tu,binh tan,binh hung hoa b
24,,CT,h29.24-221219-0015,2022-12-21,2023-01-30,,cua hang kmarket vinhomes central park 2- cong ty tnhh thuong mai an cat,ngo thi hien,"p6-sh,08, toa nha park 6, vinhomes central park, 720a đien bien phu",22,binh thanh,,ban le nhom san pham theo danh muc,24,2023-01-04,,,,,,cua hang kmarket vinhomes central park 2- cong ty tnhh thuong mai an cat,"p6-sh,08, toa nha park 6, vinhomes central park, 720a đien bien phu",binh thanh,22
25,,NN,h29.24-221215-0021,2022-12-19,2023-01-16,,ho kinh doanh hong my,,175/4 nguyen che nghia,12,8,41/H8/1549/003568/HKD,che bien com chay,25,2023-01-04,,,,,,ho kinh doanh hong my,175/4 nguyen che nghia,8,12
26,,YT,04042226954,2022-12-20,2023-01-18,,wayne’s pandora,đinh nguyen dung,"tang g, vi tri g-01a, toa nha a, trung tam thuong mai pandora city, so 1/1 truong chinh",tay thanh,tan phu,,kinh doanh dich vu an uong,26,2023-01-04,,,,,,wayne’s pandora,"tang g, vi tri g-01a, toa nha a, trung tam thuong mai pandora city, so 1/1 truong chinh",tan phu,tay thanh
27,,YT,04042226971,2022-12-20,2023-01-18,,đia điem kinh doanh phuc long hcm 472 - cong ty co phan phuc long heritage,pham thi thu huong,514a le trong tan,tay thanh,tan phu,,kinh doanh dich vu an uong,27,2023-01-04,,,,,,đia điem kinh doanh phuc long hcm 472 - cong ty co phan phuc long heritage,514a le trong tan,tan phu,tay thanh
28,,YT,04042227017,2022-12-20,2023-01-18,,cong ty tnhh tmdv nha hang đang loc,đang ngoc van anh,171 truong vinh ky,tan thanh,tan phu,,kinh doanh dich vu an uong,28,2023-01-04,,,,,,cong ty tnhh tmdv nha hang đang loc,171 truong vinh ky,tan phu,tan thanh
29,,YT,04042226939,2022-12-19,2023-01-17,,đia điem kinh doanh cong ty tnhh minh ca,huynh minh em,"t01, tang 4, toa nha ftown 2, lo t2 đuong d1, khu cong nghe cao tp. hcm",tan phu,thu đuc,,kinh doanh dich vu an uong,29,2023-01-04,,,,,,đia điem kinh doanh cong ty tnhh minh ca,"t01, tang 4, toa nha ftown 2, lo t2 đuong d1, khu cong nghe cao tp. hcm",thu đuc,tan phu
30,,YT,04042226982,2022-12-20,2023-01-18,,cong ty tnhh mot thanh vien an uong phung nguyen,luong van,275 ta uyen,6,11,,kinh doanh dich vu an uong,30,2023-01-05,,,,,,cong ty tnhh mot thanh vien an uong phung nguyen,275 ta uyen,11,6
31,,YT,04042226471,2022-12-27,2023-02-01,,đia điem kinh doanh cong ty tnhh thuong mai dich vu komorebi - nha hang ikigai sushi,hoang le giang,4a cao thang,5,3,,kinh doanh dich vu an uong,31,2023-01-05,,,,,,đia điem kinh doanh cong ty tnhh thuong mai dich vu komorebi - nha hang ikigai sushi,4a cao thang,3,5
32,,YT,04042226035,2022-12-27,2023-02-01,,chi nhanh cong ty co phan đau tu va thuong mai co ba vung tau,đang binh,40b tran cao van,vo thi sau,3,,kinh doanh dich vu an uong,32,2023-01-05,,,,,,chi nhanh cong ty co phan đau tu va thuong mai co ba vung tau,40b tran cao van,3,vo thi sau
33,,YT,04042226961,2022-12-16,2023-01-16,,cong ty tnhh east tan phat,ngo thi thanh van,73 ba huyen thanh quan,vo thi sau,3,,kinh doanh dich vu an uong,33,2023-01-05,,,,,,cong ty tnhh east tan phat,73 ba huyen thanh quan,3,vo thi sau
34,,YT,04042227028,2022-12-20,2023-01-18,,doanh nghiep tu nhan nhu phuc vinh - pho dau,uong lam bich hoang,288m1 - 288m2 nam ky khoi nghia,vo thi sau,3,,kinh doanh dich vu an uong,34,2023-01-05,,,,,,doanh nghiep tu nhan nhu phuc vinh - pho dau,288m1 - 288m2 nam ky khoi nghia,3,vo thi sau
35,,YT,04042227012,2022-12-19,2023-01-17,,chi nhanh cong ty co phan đau tu dich vu metta,le van hieu,25c tu xuong,vo thi sau,3,,kinh doanh dich vu an uong,35,2023-01-05,,,,,,chi nhanh cong ty co phan đau tu dich vu metta,25c tu xuong,3,vo thi sau
36,,YT,04042226968,2022-12-16,2023-01-16,,doanh nghiep tu nhan am sac moc,le quang minh,6e1 ngo thoi nhiem,vo thi sau,3,,kinh doanh dich vu an uong,36,2023-01-05,,,,,,doanh nghiep tu nhan am sac moc,6e1 ngo thoi nhiem,3,vo thi sau
37,,YT,04042226901,2022-12-16,2023-01-16,,đia điem kinh doanh - chi nhanh cong ty co phan thuong mai dich vu cong vang (tp ha noi) – nha hang ashima,ha thuc tu,11a tu xuong,vo thi sau,3,,kinh doanh dich vu an uong,37,2023-01-05,,,,,,đia điem kinh doanh - chi nhanh cong ty co phan thuong mai dich vu cong vang (tp ha noi) – nha hang ashima,11a tu xuong,3,vo thi sau
38,,YT,04042227023,2022-12-20,2023-01-18,,ho kinh doanh tam tai,nguyen bao quoc,"d2/23b đoan nguyen tuan, ap 4",qui đuc,binh chanh,,san xuat nuoc đa vien dung lien,38,2023-01-05,,,,,,ho kinh doanh tam tai,"d2/23b đoan nguyen tuan, ap 4",binh chanh,qui đuc
39,,"NN, YT",04042226181,2022-12-16,2023-01-09,,đia điem kinh doanh cong ty tnhh thuong mai quoc te hai san hoang gia - kho hang,,"c7/27a1, ap 4",binh hung,binh chanh,0314050795-00013,"che bien nuoc sot; so che, đong goi kinh doanh: thuy san; kinh doanh dich vu an uong",39,2023-01-05,,,,,,đia điem kinh doanh cong ty tnhh thuong mai quoc te hai san hoang gia - kho hang,"c7/27a1, ap 4",binh chanh,binh hung
40,,YT,04042226092,2022-12-28,2023-02-01,,cong ty tnhh dac group,tran thi đac vi,so 25 đuong so 58,binh trung đong,thu đuc,,kinh doanh dich vu an uong,40,2023-01-05,,,,,,cong ty tnhh dac group,so 25 đuong so 58,thu đuc,binh trung đong
41,,YT,04042225732,2022-12-15,2023-01-13,,đia điem kinh doanh cong ty co phan binh minh toan cau – cua hang banh breadtalk cantavil,tran uyen vy,"gian hang 1, tang 1, khu sanh van phong, khu phuc hop cantavil an phu, so 1 đuong song hanh xa lo ha noi",an phu,thu đuc,,kinh doanh dich vu an uong,41,2023-01-05,,,,,,đia điem kinh doanh cong ty co phan binh minh toan cau – cua hang banh breadtalk cantavil,"gian hang 1, tang 1, khu sanh van phong, khu phuc hop cantavil an phu, so 1 đuong song hanh xa lo ha noi",thu đuc,an phu
42,,YT,04042227003,2022-12-19,2023-01-17,,cong ty tnhh nha hang thuyen bia,đinh nho loc,39 nguyen quy canh,an phu,thu đuc,,kinh doanh dich vu an uong,42,2023-01-05,,,,,,cong ty tnhh nha hang thuyen bia,39 nguyen quy canh,thu đuc,an phu
43,,YT,04042226988,2022-12-20,2023-01-18,,cong ty tnhh we now,vo thi hai trang,19b ngo quang huy,thao đien,thu đuc,,kinh doanh dich vu an uong,43,2023-01-05,,,,,,cong ty tnhh we now,19b ngo quang huy,thu đuc,thao đien
44,,YT,04042227029,2022-12-20,2023-01-18,,chi nhanh quan 2 - cong ty tnhh my quang my son,le anh thu,"so 69 đuong song hanh xa lo ha noi, khu pho 5",an phu,thu đuc,,kinh doanh dich vu an uong,44,2023-01-05,,,,,,chi nhanh quan 2 - cong ty tnhh my quang my son,"so 69 đuong song hanh xa lo ha noi, khu pho 5",thu đuc,an phu
45,,NN,h29.24-221215-0004,2022-12-16,2023-01-16,,ho kinh doanh chau thuc ai,,593 binh đong,13,8,41H8003746,che bien trung vit muoi,45,2023-01-05,,,,,,ho kinh doanh chau thuc ai,593 binh đong,8,13
46,,NN,h29.24-221215-0018,2022-12-20,2023-01-16,,ho kinh doanh thuc pham sach,,so 22b đuong 106,tang nhon phu a,thu đuc,41Y8001122,che bien rau cau,46,2023-01-05,,,,,,ho kinh doanh thuc pham sach,so 22b đuong 106,thu đuc,tang nhon phu a
47,,NN,h29.24-221215-0017,2022-12-16,2023-01-16,,đia điem kinh doanh golden cup 01- cong ty tnhh mot thanh vien golden cup,,87 xuan thuy,thao đien,thu đuc,0317197958-00001,"rang, xay ca phe",47,2023-01-05,,,,,,đia điem kinh doanh golden cup 01- cong ty tnhh mot thanh vien golden cup,87 xuan thuy,thu đuc,thao đien
48,,YT,h29.24-221216-0013,2022-12-19,2023-01-30,,doanh nghiep tu nhan san xuat thuong mai dich vu hoang hai tc,truong minh hoang,"so 18 đuong 42, ap đong",binh trung đong,thu đuc,,san xuat nuoc đa vien dung lien,48,2023-01-05,,,,,,doanh nghiep tu nhan san xuat thuong mai dich vu hoang hai tc,"so 18 đuong 42, ap đong",thu đuc,binh trung đong
49,,"CT, YT",h29.24-230104-0024,2023-01-04,2023-01-05,Cấp đổi,cua hang so 289 - cong ty tnhh vong tron đo,cheung yiu kwong,402 nguyen thi thap,tan quy,7,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,49,2023-01-05,639.0,2021-02-05,,,,cua hang so 289 - cong ty tnhh vong tron đo,402 nguyen thi thap,7,tan quy
50,,"CT, YT",h29.24-230104-0011,2023-01-04,2023-01-05,Cấp đổi,đia điem kinh doanh cua hang so 292 - cong ty tnhh vong tron đo,cheung yiu kwong,135-137 le van sy,13,phu nhuan,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,50,2023-01-05,1456.0,2021-04-07,,,,đia điem kinh doanh cua hang so 292 - cong ty tnhh vong tron đo,135-137 le van sy,phu nhuan,13
51,,"CT, YT",h29.24-230104-0010,2023-01-04,2023-01-05,Cấp đổi,đia điem kinh doanh cua hang so 299 - cong ty tnhh vong tron đo,cheung yiu kwong,619 le đuc tho,16,go vap,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,51,2023-01-05,2033.0,2021-05-17,,,,đia điem kinh doanh cua hang so 299 - cong ty tnhh vong tron đo,619 le đuc tho,go vap,16
52,,"CT, YT",h29.24-230104-0006,2023-01-04,2023-01-05,Cấp đổi,cua hang so 400 - cong ty tnhh vong tron đo,cheung yiu kwong,so a10/7 ap 2,binh hung,binh chanh,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,52,2023-01-05,1832.0,2020-05-19,,,,cua hang so 400 - cong ty tnhh vong tron đo,so a10/7 ap 2,binh chanh,binh hung
53,,"CT, YT",h29.24-230104-0007,2023-01-04,2023-01-05,Cấp đổi,cua hang so 287 - cong ty tnhh vong tron đo,cheung yiu kwong,"tang tret, chung cu lo 3-4, cum 1, khu dan cu trung son đuong so 9a",binh hung,binh chanh,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,53,2023-01-05,411.0,2021-01-26,,,,cua hang so 287 - cong ty tnhh vong tron đo,"tang tret, chung cu lo 3-4, cum 1, khu dan cu trung son đuong so 9a",binh chanh,binh hung
54,,CT,h29.24-221219-0014,2022-12-21,2023-01-30,,đia điem kinh doanh cua hang kmarket somerset - cong ty tnhh thuong mai an cat,ngo thi hien,"gian hang trong khu vuc ho boi, 8a nguyen binh khiem",đa kao,1,,ban le nhom san pham theo danh muc,54,2023-01-05,,,,,,đia điem kinh doanh cua hang kmarket somerset - cong ty tnhh thuong mai an cat,"gian hang trong khu vuc ho boi, 8a nguyen binh khiem",1,đa kao
55,,YT,h29.24-221212-0017,2022-12-12,2023-01-30,,cong ty tnhh nha hang spice india,shaikh maijuddin,244 bui vien,pham ngu lao,1,,kinh doanh dich vu an uong,55,2023-01-05,,,,,,cong ty tnhh nha hang spice india,244 bui vien,1,pham ngu lao
56,," CT, YT",h29.24-221221-0002,2022-12-22,2023-01-30,,cong ty tnhh phan phoi sanh đieu - chi nhanh saigon centre,nguyen thi phuong vien,"gian hang b2-11,12, tang ham 2, toa nha saigon centre, so 67 đuong le loi",ben nghe,1,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,56,,,,,,,cong ty tnhh phan phoi sanh đieu - chi nhanh saigon centre,"gian hang b2-11,12, tang ham 2, toa nha saigon centre, so 67 đuong le loi",1,ben nghe
57,,CT,h29.24-221213-0009,2022-12-23,2023-01-30,,chi nhanh cong ty tnhh thuong mai thuc pham tuoi song ha hien,chung my hien,125-127 ngo thi thu minh,2,tan binh,,ban le nhom san pham theo danh muc,57,,,,,,,chi nhanh cong ty tnhh thuong mai thuc pham tuoi song ha hien,125-127 ngo thi thu minh,tan binh,2
58,,YT,04042226978,2022-12-21,2023-01-19,,the august coffee and poshtel,la khiet binh,59/11 pham viet chanh,nguyen cu trinh,1,,kinh doanh dich vu an uong,58,,,,,,,the august coffee and poshtel,59/11 pham viet chanh,1,nguyen cu trinh
59,,YT,04042226597,2022-12-29,2023-02-03,,đia điem kinh doanh cong ty co phan som tum thai,ly hoang kieu linh,"b3-05, tang b3, trung tam thuong mai vincom center đong khoi, 72 le thanh ton",ben nghe,1,,kinh doanh dich vu an uong,59,,,,,,,đia điem kinh doanh cong ty co phan som tum thai,"b3-05, tang b3, trung tam thuong mai vincom center đong khoi, 72 le thanh ton",1,ben nghe
60,,YT,04042226134,2022-12-30,2023-02-06,,doanh nghiep tu nhan nha hang am thuc vuon dua,nguyen kim anh,12 phan đinh giot,2,tan binh,,kinh doanh dich vu an uong,60,,,,,,,doanh nghiep tu nhan nha hang am thuc vuon dua,12 phan đinh giot,tan binh,2
61,,YT,04042227058,2022-12-23,2023-01-30,,cong ty tnhh thuong mai dich vu an uong an loc,phan quynh nhu,927/8 cach mang thang tam,7,tan binh,,kinh doanh dich vu an uong,61,2023-01-05,,,,,,cong ty tnhh thuong mai dich vu an uong an loc,927/8 cach mang thang tam,tan binh,7
62,,YT,04042226987,2022-12-21,2023-01-19,,cong ty tnhh dich vu nha hang que lam quan,nguyen cong thi,so 02 huynh lan khanh,2,tan binh,,kinh doanh dich vu an uong,62,2023-01-05,,,,,,cong ty tnhh dich vu nha hang que lam quan,so 02 huynh lan khanh,tan binh,2
63,,YT,04042227053,2022-12-23,2023-01-30,,cua hang kfc big c an lac,pornchai thuratum,"shop 05 trung tam thuong mai big c, 1231 quoc lo 1a, kp5",binh tri đong b,binh tan,,kinh doanh dich vu an uong,63,2023-01-05,,,,,,cua hang kfc big c an lac,"shop 05 trung tam thuong mai big c, 1231 quoc lo 1a, kp5",binh tan,binh tri đong b
64,,YT,04042226810,2022-12-21,2023-01-19,,đia điem kinh doanh thuoc chi nhanh 5 cong ty co phan v lotus holdings - nha hang ushi mania ly tu trong,nguyen manh tu,"lau 3 - lau 4 - lau 5, so 13 đuong ly tu trong",ben nghe,1,,kinh doanh dich vu an uong,64,2023-01-06,,,,,,đia điem kinh doanh thuoc chi nhanh 5 cong ty co phan v lotus holdings - nha hang ushi mania ly tu trong,"lau 3 - lau 4 - lau 5, so 13 đuong ly tu trong",1,ben nghe
65,,YT,04042226940,2022-12-22,2023-01-20,,đia điem kinh doanh cong ty tnhh dich vu flair,le ngoc thao,"tang tret, so 8/8 le thanh ton",ben nghe,1,,kinh doanh dich vu an uong,65,2023-01-06,,,,,,đia điem kinh doanh cong ty tnhh dich vu flair,"tang tret, so 8/8 le thanh ton",1,ben nghe
66,,YT,04042226886,2022-12-21,2023-01-19,,đia điem kinh doanh phuc long hcm 411 - ks - cong ty co phan phuc long heritage,pham thi thu huong,106 banh van tran,7,tan binh,,kinh doanh dich vu an uong,66,2023-01-06,,,,,,đia điem kinh doanh phuc long hcm 411 - ks - cong ty co phan phuc long heritage,106 banh van tran,tan binh,7
67,,YT,04042226989,2022-12-22,2023-01-20,,cong ty tnhh kopet vietnam,yoon suki,"1016/31 (s13-2) nguyen van linh, khu pho sky garden 3, lo r1-3, khu đo thi phu my hung",tan phong,7,,kinh doanh dich vu an uong,67,2023-01-06,,,,,,cong ty tnhh kopet vietnam,"1016/31 (s13-2) nguyen van linh, khu pho sky garden 3, lo r1-3, khu đo thi phu my hung",7,tan phong
68,,YT,04042227013,2022-12-23,2023-01-30,,chi nhanh 6 cong ty tnhh nha hang han quoc meat & meet,lee taeyoung,"3f-21 tang 3 lotte mart nam sai gon, so 469 đuong nguyen huu tho",tan hung,7,,kinh doanh dich vu an uong,68,2023-01-06,,,,,,chi nhanh 6 cong ty tnhh nha hang han quoc meat & meet,"3f-21 tang 3 lotte mart nam sai gon, so 469 đuong nguyen huu tho",7,tan hung
69,,YT,04042227059,2022-12-23,2023-01-30,,đia điem kinh doanh sukiya sc vivocity - cong ty tnhh zensho viet nam,tomoari hirata,"04 - 06, tang 4 sc vivocity, 1058 đuong nguyen van linh",tan phong,7,,kinh doanh dich vu an uong,69,2023-01-06,,,,,,đia điem kinh doanh sukiya sc vivocity - cong ty tnhh zensho viet nam,"04 - 06, tang 4 sc vivocity, 1058 đuong nguyen van linh",7,tan phong
70,,YT,04042227031,2022-12-21,2023-01-19,,đia điem kinh doanh cong ty tnhh h&l concept,tran thi my hang,691 hoang sa,vo thi sau,3,,kinh doanh dich vu an uong,70,2023-01-06,,,,,,đia điem kinh doanh cong ty tnhh h&l concept,691 hoang sa,3,vo thi sau
71,,YT,04042225914,2022-12-29,2023-02-03,,đia điem kinh doanh cua hang so 278 vo thi sau tai ho chi minh - cong ty tnhh mot thanh vien am thuc tran,tran thi thu thuy,278 vo thi sau,vo thi sau,3,,kinh doanh dich vu an uong,71,2023-01-06,,,,,,đia điem kinh doanh cua hang so 278 vo thi sau tai ho chi minh - cong ty tnhh mot thanh vien am thuc tran,278 vo thi sau,3,vo thi sau
72,,YT,04042227087,2023-12-23,2023-01-30,,đia điem kinh doanh hau giang cong ty tnhh thuong mai dich vu thanh khiem huy,chau tieu thuan,"so 155, đuong hau giang",5,6,,kinh doanh dich vu an uong,72,2023-01-06,,,,,,đia điem kinh doanh hau giang cong ty tnhh thuong mai dich vu thanh khiem huy,"so 155, đuong hau giang",6,5
73,,YT,04042227096,2023-12-23,2023-01-30,,cong ty tnhh big up vietnam,đong thi thu ha,64b3 xuan thuy,thao đien,thu đuc,,kinh doanh dich vu an uong,73,2023-01-06,,,,,,cong ty tnhh big up vietnam,64b3 xuan thuy,thu đuc,thao đien
74,,YT,04042226952,2022-12-20,2023-01-18,,cua hang wayne’s coffee - cong ty co phan arya consumer,đinh nguyen dung,"g.06a, tang tret - thap a, viettel tower, 285 cach mang thang tam",12,10,,kinh doanh dich vu an uong,74,2023-01-06,,,,,,cua hang wayne’s coffee - cong ty co phan arya consumer,"g.06a, tang tret - thap a, viettel tower, 285 cach mang thang tam",10,12
75,,YT,04042227125,2022-12-23,2023-01-30,,cong ty tnhh phuong đong new,nguyen gia bao,968-970 đuong ta quang buu,6,8,,kinh doanh dich vu an uong,75,2023-01-06,,,,,,cong ty tnhh phuong đong new,968-970 đuong ta quang buu,8,6
76,,YT,04042226935,2022-12-21,2023-01-19,,cong ty tnhh san xuat thuong mai tam thien huong,nguyen chieu tam,136/27 nguyen thi tan,2,8,,san xuat nuoc uong đong binh,76,2023-01-06,,,,,,cong ty tnhh san xuat thuong mai tam thien huong,136/27 nguyen thi tan,8,2
