stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,tpphuongxathi_xathi_tran,quan_huyen,so_gcn_đkkd,loai_hinh_kinh_doanh,so_gcn_cap_moi_nhat,ngay_cap_moi_nhat,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap,chuyen_vien_thu_ly,tinh_thanh
11,,CT,,2022-12-16,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH SÀI GÒN SONG ANH - CỬA HÀNG THỰC PHẨM SONG ANH FOOD,BẠCH NGỌC TUẤN,80/4 Dương Quảng Hàm,5,Gò Vấp,,Bán lẻ nhóm sản phẩm theo danh mục,11,2023-01-03,,,,,,Ho Chi Minh
12,,NN,,2022-12-20,2023-01-16,,HỘ KINH DOANH TRẦN VĂN THẮNG,,350/54/41 Lê Đức Thọ,6,Gò Vấp,,"Sơ chế rau, củ, trái cây",12,2023-01-03,,,,,,Ho Chi Minh
13,,YT,4042226818.0,2022-12-15,2023-01-13,,CÔNG TY TNHH ENZO & LEO CUISINE,NGUYỄN THỊ LỆ THU,"Số 22B, Đường Phùng Khắc Khoan",Đa Kao,1,,Kinh doanh dịch vụ ăn uống,13,2023-01-03,,,,,,Ho Chi Minh
14,,YT,4042226870.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH 20 – CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHỞ HAI MƯƠI BỐN,THÁI PHI ĐÁN,"Gian hàng #0.38 – Tầng trệt, Số 584 Huỳnh Tấn Phát",Tân Phú,7,,Kinh doanh dịch vụ ăn uống,14,2023-01-03,,,,,,Ho Chi Minh
15,,YT,4042226929.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH NGUYỄN THỊ THẬP - CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI TTV,TRẦN TUYẾT VÂN,"Vị trí 1S11-A, Trung Tâm Thương Mại Go! Nguyễn Thị Thập, Lô A, Khu dân cư Cityland, Số 99, Đường Nguyễn Thị Thập",Tân Phú,7,,Kinh doanh dịch vụ ăn uống,15,2023-01-03,,,,,,Ho Chi Minh
16,,YT,4042227030.0,2022-12-20,2023-01-18,,CÔNG TY TNHH TRĂNG MẬT	,NGÔ KIM ÁNH,"Lầu 2, Cao ốc H3 - 384 Hoàng Diệu",6,4,,Kinh doanh dịch vụ ăn uống,16,2023-01-04,,,,,,Ho Chi Minh
17,,YT,4042226955.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM,VÕ THỊ PHI PHƯƠNG,172 Khánh Hội,6,4,,Kinh doanh dịch vụ ăn uống,17,2023-01-04,,,,,,Ho Chi Minh
18,,YT,4042226887.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH PHÚC LONG HCM 326 - KS - CÔNG TY CỔ PHẦN PHÚC LONG HERITAGE,PHẠM THỊ THU HƯƠNG,1191-1193 Phạm Văn Bạch,12,Gò Vấp,,Kinh doanh dịch vụ ăn uống,18,2023-01-04,,,,,,Ho Chi Minh
19,,YT,4042226958.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH 86- CÔNG TY TNHH GUTA VIỆT NAM	,NGUYỄN MINH THẾ,428 Phan Văn Trị,7,Gò Vấp,,Kinh doanh dịch vụ ăn uống,19,2023-01-04,,,,,,Ho Chi Minh
20,,YT,4042226938.0,2022-12-19,2023-01-17,,ĐỊA ĐIỂM KINH DOANH SỐ 3 - CÔNG TY TNHH HẦM RƯỢU DÊ CUA 245,NGUYỄN THỊ NGẦN,"Số 1, đường Hoà Bình, Khu phố 4",Bình Thọ,Thủ Đức,,Kinh doanh dịch vụ ăn uống,20,2023-01-04,,,,,,Ho Chi Minh
21,,YT,4042226889.0,2022-12-16,2023-01-16,,CÔNG TY TNHH MAMA KITCHEN,NGUYỄN NGỌC TRÂM,B18 Bạch Đằng 1,2,Tân Bình,,Kinh doanh dịch vụ ăn uống,21,2023-01-04,,,,,,Ho Chi Minh
22,,YT,4042226965.0,2022-12-19,2023-01-17,,ĐỊA ĐIỂM KINH DOANH 65 - CÔNG TY TNHH  GUTA VIỆT NAM,NGUYỄN MINH THẾ,54 Út Tịch,4,Tân Bình,,Kinh doanh dịch vụ ăn uống,22,2023-01-04,,,,,,Ho Chi Minh
23,,YT,4042226677.0,2022-12-16,2023-01-16,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỰC PHẨM TRUNG NAM,TRỊNH KIÊN LĨNH,245A Nguyễn Thị Tú,Bình Hưng Hòa B,Bình Tân,,Kinh doanh dịch vụ ăn uống,23,2023-01-04,,,,,,Ho Chi Minh
24,,CT,,2022-12-21,2023-01-30,,CỬA HÀNG KMARKET VINHOMES CENTRAL PARK 2- CÔNG TY TNHH THƯƠNG MẠI AN CÁT,NGÔ THỊ HIỀN,"P6-SH,08, Tòa nhà Park 6, Vinhomes Central Park, 720A Điện Biên Phủ",22,Bình Thạnh,,Bán lẻ nhóm sản phẩm theo danh mục,24,2023-01-04,,,,,,Ho Chi Minh
25,,NN,,2022-12-19,2023-01-16,,HỘ KINH DOANH HỒNG MỸ,,175/4 Nguyễn Chế Nghĩa,12,8,,Chế biến cơm cháy,25,2023-01-04,,,,,,Ho Chi Minh
26,,YT,4042226954.0,2022-12-20,2023-01-18,,WAYNE’S PANDORA,ĐINH NGUYÊN DŨNG,"Tầng G, vị trí G-01A, Tòa nhà A, Trung tâm thương mại Pandora City, số 1/1 Trường Chinh",Tây Thạnh,Tân Phú,,Kinh doanh dịch vụ ăn uống,26,2023-01-04,,,,,,Ho Chi Minh
27,,YT,4042226971.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH PHÚC LONG HCM 472 - CÔNG TY CỔ PHẦN PHÚC LONG HERITAGE,PHẠM THỊ THU HƯƠNG,514A Lê Trọng Tấn,Tây Thạnh,Tân Phú,,Kinh doanh dịch vụ ăn uống,27,2023-01-04,,,,,,Ho Chi Minh
28,,YT,4042227017.0,2022-12-20,2023-01-18,,CÔNG TY TNHH TMDV NHÀ HÀNG ĐĂNG LỘC,ĐẶNG NGỌC VÂN ANH,171 Trương Vĩnh Ký,Tân Thành,Tân Phú,,Kinh doanh dịch vụ ăn uống,28,2023-01-04,,,,,,Ho Chi Minh
29,,YT,4042226939.0,2022-12-19,2023-01-17,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH MINH CA,HUỲNH MINH EM,"T01, tầng 4, tòa nhà FTown 2, Lô T2 đường D1, Khu Công Nghệ Cao TP. HCM",Tân Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống,29,2023-01-04,,,,,,Ho Chi Minh
30,,YT,4042226982.0,2022-12-20,2023-01-18,,CÔNG TY TNHH MỘT THÀNH VIÊN ĂN UỐNG PHÙNG NGUYÊN,LƯƠNG VÂN,275 Tạ Uyên,6,11,,Kinh doanh dịch vụ ăn uống,30,2023-01-05,,,,,,Ho Chi Minh
31,,YT,4042226471.0,2022-12-27,2023-02-01,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KOMOREBI - NHÀ HÀNG IKIGAI SUSHI,HOÀNG LÊ GIANG,4A Cao Thắng,5,3,,Kinh doanh dịch vụ ăn uống,31,2023-01-05,,,,,,Ho Chi Minh
32,,YT,4042226035.0,2022-12-27,2023-02-01,,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI CÔ BA VŨNG TÀU,ĐẶNG BÌNH,40B Trần Cao Vân,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,32,2023-01-05,,,,,,Ho Chi Minh
33,,YT,4042226961.0,2022-12-16,2023-01-16,,CÔNG TY TNHH EAST TÂN PHÁT,NGÔ THỊ THANH VÂN,73 Bà Huyện Thanh Quan,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,33,2023-01-05,,,,,,Ho Chi Minh
34,,YT,4042227028.0,2022-12-20,2023-01-18,,DOANH NGHIỆP TƯ NHÂN NHƯ PHÚC VINH - PHỞ DẬU,UÔNG LÂM BÍCH HOÀNG,288M1 - 288M2 Nam Kỳ Khởi Nghĩa,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,34,2023-01-05,,,,,,Ho Chi Minh
35,,YT,4042227012.0,2022-12-19,2023-01-17,,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ DỊCH VỤ METTA,LÊ VĂN HIẾU,25C Tú Xương,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,35,2023-01-05,,,,,,Ho Chi Minh
36,,YT,4042226968.0,2022-12-16,2023-01-16,,DOANH NGHIỆP TƯ NHÂN ÂM SẮC MỘC,LÊ QUANG MINH,6E1 Ngô Thời Nhiệm,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,36,2023-01-05,,,,,,Ho Chi Minh
37,,YT,4042226901.0,2022-12-16,2023-01-16,,ĐỊA ĐIỂM KINH DOANH - CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG (TP HÀ NỘI) – NHÀ HÀNG ASHIMA,HÀ THÚC TÚ,11A Tú Xương,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,37,2023-01-05,,,,,,Ho Chi Minh
38,,YT,4042227023.0,2022-12-20,2023-01-18,,HỘ KINH DOANH TÁM TÀI,NGUYỄN BẢO QUỐC,"D2/23B Đoàn Nguyễn Tuấn, Ấp 4",Qui Đức,Bình Chánh,,Sản xuất nước đá viên dùng liền,38,2023-01-05,,,,,,Ho Chi Minh
39,,"NN, YT",4042226181.0,2022-12-16,2023-01-09,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ HẢI SẢN HOÀNG GIA - KHO HÀNG,,"C7/27A1, Ấp 4",Bình Hưng,Bình Chánh,,"Chế biến nước sốt; Sơ chế, đóng gói kinh doanh: thủy sản; Kinh doanh dịch vụ ăn uống",39,2023-01-05,,,,,,Ho Chi Minh
40,,YT,4042226092.0,2022-12-28,2023-02-01,,CÔNG TY TNHH DAC GROUP,TRẦN THỊ ĐẮC VI,Số 25 Đường số 58,Bình Trưng Đông,Thủ Đức,,Kinh doanh dịch vụ ăn uống,40,2023-01-05,,,,,,Ho Chi Minh
41,,YT,4042225732.0,2022-12-15,2023-01-13,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN BÌNH MINH TOÀN CẦU – CỬA HÀNG BÁNH BREADTALK CANTAVIL,TRẦN UYÊN VY,"Gian hàng 1, Tầng 1, Khu Sảnh văn phòng, Khu phức hợp Cantavil An Phú, Số 1 Đường Song Hành Xa Lộ Hà Nội",An Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống,41,2023-01-05,,,,,,Ho Chi Minh
42,,YT,4042227003.0,2022-12-19,2023-01-17,,CÔNG TY TNHH NHÀ HÀNG THUYỀN BIA,ĐINH NHO LỘC,39 Nguyễn Quý Cảnh,An Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống,42,2023-01-05,,,,,,Ho Chi Minh
43,,YT,4042226988.0,2022-12-20,2023-01-18,,CÔNG TY TNHH WE NOW,VÕ THỊ HẢI TRANG,19B Ngô Quang Huy,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,43,2023-01-05,,,,,,Ho Chi Minh
44,,YT,4042227029.0,2022-12-20,2023-01-18,,CHI NHÁNH QUẬN 2 - CÔNG TY TNHH MỲ QUẢNG MỸ SƠN,LÊ ANH THƯ,"Số 69 Đường Song hành Xa lộ Hà Nội, Khu phố 5",An Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống,44,2023-01-05,,,,,,Ho Chi Minh
45,,NN,,2022-12-16,2023-01-16,,HỘ KINH DOANH CHÂU THỤC ÁI,,593 Bình Đông,13,8,,Chế biến trứng vịt muối,45,2023-01-05,,,,,,Ho Chi Minh
46,,NN,,2022-12-20,2023-01-16,,HỘ KINH DOANH THỰC PHẨM SẠCH,,Số 22B Đường 106,Tăng Nhơn Phú A,Thủ Đức,,Chế biến rau câu,46,2023-01-05,,,,,,Ho Chi Minh
47,,NN,,2022-12-16,2023-01-16,,ĐỊA ĐIỂM KINH DOANH GOLDEN CUP 01- CÔNG TY TNHH MỘT THÀNH VIÊN GOLDEN CUP,,87 xuân Thủy,Thảo Điền,Thủ Đức,,"Rang, xay cà phê",47,2023-01-05,,,,,,Ho Chi Minh
48,,YT,,2022-12-19,2023-01-30,,DOANH NGHIỆP TƯ NHÂN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ HOÀNG HẢI TC,TRƯƠNG MINH HOÀNG,"Số 18 Đường 42, ấp Đông",Bình Trưng Đông,Thủ Đức,,Sản xuất nước đá viên dùng liền,48,2023-01-05,,,,,,Ho Chi Minh
49,,"CT, YT",,2023-01-04,2023-01-05,Cấp đổi,CỬA HÀNG SỐ 289 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,402 Nguyễn Thị Thập,Tân Quy,7,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,49,2023-01-05,6390.0,2021-02-05,,,,Ho Chi Minh
50,,"CT, YT",,2023-01-04,2023-01-05,Cấp đổi,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG SỐ 292 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,135-137 Lê Văn Sỹ,13,Phú Nhuận,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,50,2023-01-05,14560.0,2021-04-07,,,,Ho Chi Minh
51,,"CT, YT",,2023-01-04,2023-01-05,Cấp đổi,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG SỐ 299 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,619 Lê Đức Thọ,16,Gò Vấp,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,51,2023-01-05,20330.0,2021-05-17,,,,Ho Chi Minh
52,,"CT, YT",,2023-01-04,2023-01-05,Cấp đổi,CỬA HÀNG SỐ 400 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,Số A10/7 Ấp 2,Bình Hưng,Bình Chánh,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,52,2023-01-05,18320.0,2020-05-19,,,,Ho Chi Minh
53,,"CT, YT",,2023-01-04,2023-01-05,Cấp đổi,CỬA HÀNG SỐ 287 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,"Tầng trệt, Chung cư lô 3-4, Cụm 1, Khu dân cư Trung Sơn Đường số 9A",Bình Hưng,Bình Chánh,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,53,2023-01-05,4110.0,2021-01-26,,,,Ho Chi Minh
54,,CT,,2022-12-21,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG KMARKET SOMERSET - CÔNG TY TNHH THƯƠNG MẠI AN CÁT,NGÔ THỊ HIỀN,"Gian hàng trong khu vực hồ bơi, 8A Nguyễn Bỉnh Khiêm",Đa Kao,1,,Bán lẻ nhóm sản phẩm theo danh mục,54,2023-01-05,,,,,,Ho Chi Minh
55,,YT,,2022-12-12,2023-01-30,,CÔNG TY TNHH NHÀ HÀNG SPICE INDIA,SHAIKH MAIJUDDIN,244 Bùi Viện,Phạm Ngũ Lão,1,,Kinh doanh dịch vụ ăn uống,55,2023-01-05,,,,,,Ho Chi Minh
56,," CT, YT",,2022-12-22,2023-01-30,,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU - CHI NHÁNH SAIGON CENTRE,NGUYỄN THỊ PHƯƠNG VIÊN,"Gian hàng B2-11,12, Tầng hầm 2, Tòa nhà Saigon Centre, Số 67 Đường Lê Lợi",Bến Nghé,1,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,56,,,,,,,Ho Chi Minh
57,,CT,,2022-12-23,2023-01-30,,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM TƯƠI SỐNG HÀ HIỀN,CHUNG MỸ HIỀN,125-127 Ngô Thị Thu Minh,2,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục,57,,,,,,,Ho Chi Minh
58,,YT,4042226978.0,2022-12-21,2023-01-19,,THE AUGUST COFFEE AND POSHTEL,LA KHIẾT BÌNH,59/11 Phạm Viết Chánh,Nguyễn Cư Trinh,1,,Kinh doanh dịch vụ ăn uống,58,,,,,,,Ho Chi Minh
59,,YT,4042226597.0,2022-12-29,2023-02-03,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN SOM TUM THAI,LÝ HOÀNG KIỀU LINH,"B3-05, Tầng B3, Trung Tâm Thương Mại Vincom Center Đồng Khởi, 72 Lê Thánh Tôn",Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,59,,,,,,,Ho Chi Minh
60,,YT,4042226134.0,2022-12-30,2023-02-06,,DOANH NGHIỆP TƯ NHÂN NHÀ HÀNG ẨM THỰC VƯỜN DỪA,NGUYỄN KIM ANH,12 Phan Đình Giót,2,Tân Bình,,Kinh doanh dịch vụ ăn uống,60,,,,,,,Ho Chi Minh
61,,YT,4042227058.0,2022-12-23,2023-01-30,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĂN UỐNG AN LỘC,PHAN QUỲNH NHƯ,927/8 Cách Mạng Tháng Tám,7,Tân Bình,,Kinh doanh dịch vụ ăn uống,61,2023-01-05,,,,,,Ho Chi Minh
62,,YT,4042226987.0,2022-12-21,2023-01-19,,CÔNG TY TNHH DỊCH VỤ NHÀ HÀNG QUẾ LÂM QUÁN,NGUYỄN CÔNG THI,Số 02 Huỳnh Lan Khanh,2,Tân Bình,,Kinh doanh dịch vụ ăn uống,62,2023-01-05,,,,,,Ho Chi Minh
63,,YT,4042227053.0,2022-12-23,2023-01-30,,CỬA HÀNG KFC BIG C AN LẠC,PORNCHAI THURATUM,"Shop 05 Trung tâm thương mại Big C, 1231 Quốc lộ 1A, KP5",Bình Trị Đông B,Bình Tân,,Kinh doanh dịch vụ ăn uống,63,2023-01-05,,,,,,Ho Chi Minh
64,,YT,4042226810.0,2022-12-21,2023-01-19,,ĐỊA ĐIỂM KINH DOANH THUỘC CHI NHÁNH 5 CÔNG TY CỔ PHẦN V LOTUS HOLDINGS - NHÀ HÀNG USHI MANIA LÝ TỰ TRỌNG,NGUYỄN MẠNH TỪ,"Lầu 3 - lầu 4 - lầu 5, Số 13 đường Lý Tự Trọng",Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,64,2023-01-06,,,,,,Ho Chi Minh
65,,YT,4042226940.0,2022-12-22,2023-01-20,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH DỊCH VỤ FLAIR,LÊ NGỌC THẢO,"Tầng trệt, Số 8/8 Lê Thánh Tôn",Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,65,2023-01-06,,,,,,Ho Chi Minh
66,,YT,4042226886.0,2022-12-21,2023-01-19,,ĐỊA ĐIỂM KINH DOANH PHÚC LONG HCM 411 - KS - CÔNG TY CỔ PHẦN PHÚC LONG HERITAGE,PHẠM THỊ THU HƯƠNG,106 Bành Văn Trân,7,Tân Bình,,Kinh doanh dịch vụ ăn uống,66,2023-01-06,,,,,,Ho Chi Minh
67,,YT,4042226989.0,2022-12-22,2023-01-20,,CÔNG TY TNHH KOPET VIETNAM,YOON SUKI,"1016/31 (S13-2) Nguyễn Văn Linh, Khu phố Sky Garden 3, lô R1-3, khu đô thị Phú Mỹ Hưng",Tân Phong,7,,Kinh doanh dịch vụ ăn uống,67,2023-01-06,,,,,,Ho Chi Minh
68,,YT,4042227013.0,2022-12-23,2023-01-30,,CHI NHÁNH 6 CÔNG TY TNHH NHÀ HÀNG HÀN QUỐC MEAT & MEET,LEE TAEYOUNG,"3F-21 Tầng 3 Lotte Mart Nam Sài Gòn, Số 469 Đường Nguyễn Hữu Thọ",Tân Hưng,7,,Kinh doanh dịch vụ ăn uống,68,2023-01-06,,,,,,Ho Chi Minh
69,,YT,4042227059.0,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH SUKIYA SC VIVOCITY - CÔNG TY TNHH ZENSHO VIỆT NAM,TOMOARI HIRATA,"04 - 06, Tầng 4 SC VIVOCITY, 1058 đường Nguyễn Văn Linh",Tân Phong,7,,Kinh doanh dịch vụ ăn uống,69,2023-01-06,,,,,,Ho Chi Minh
70,,YT,4042227031.0,2022-12-21,2023-01-19,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH H&L CONCEPT,TRẦN THỊ MỸ HẰNG,691 Hoàng Sa,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,70,2023-01-06,,,,,,Ho Chi Minh
71,,YT,4042225914.0,2022-12-29,2023-02-03,,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG SỐ 278 VÕ THỊ SÁU TẠI HỒ CHÍ MINH - CÔNG TY TNHH MỘT THÀNH VIÊN ẨM THỰC TRẦN,TRẦN THỊ THU THỦY,278 Võ Thị Sáu,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,71,2023-01-06,,,,,,Ho Chi Minh
72,,YT,4042227087.0,2023-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH HẬU GIANG CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THÀNH KHIÊM HUY ,CHÂU TIỂU THUẬN,"Số 155, Đường Hậu Giang",5,6,,Kinh doanh dịch vụ ăn uống,72,2023-01-06,,,,,,Ho Chi Minh
73,,YT,4042227096.0,2023-12-23,2023-01-30,,CÔNG TY TNHH BIG UP VIETNAM,ĐỒNG THỊ THU HÀ,64B3 Xuân Thủy,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,73,2023-01-06,,,,,,Ho Chi Minh
74,,YT,4042226952.0,2022-12-20,2023-01-18,,CỬA HÀNG WAYNE’S COFFEE - CÔNG TY CỔ PHẦN ARYA CONSUMER,ĐINH NGUYÊN DŨNG,"G.06A, Tầng trệt - Tháp A, Viettel Tower, 285 Cách Mạng Tháng Tám",12,10,,Kinh doanh dịch vụ ăn uống,74,2023-01-06,,,,,,Ho Chi Minh
75,,YT,4042227125.0,2022-12-23,2023-01-30,,CÔNG TY TNHH PHƯƠNG ĐÔNG NEW,NGUYỄN GIA BẢO,968-970 Đường Tạ Quang Bửu,6,8,,Kinh doanh dịch vụ ăn uống,75,2023-01-06,,,,,,Ho Chi Minh
76,,YT,4042226935.0,2022-12-21,2023-01-19,,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TÂM THIÊN HƯƠNG,NGUYỄN CHIÊU TÂM,136/27 Nguyễn Thị Tần,2,8,,Sản xuất nước uống đóng bình,76,2023-01-06,,,,,,Ho Chi Minh
